2014,1,16,5
2014,2,8,0
2014,3,13,1
2014,4,5,3
2014,5,14,2
2014,6,16,3
2014,7,16,1
2014,8,4,3
2014,9,12,1
2014,10,9,0
2014,11,12,2
2014,12,11,0
2015,1,14,2
2015,2,16,6
2015,3,6,5
2015,4,2,0
2015,5,8,4
2015,6,1,2
2015,7,6,2
2015,8,15,1
2015,9,16,5
2015,10,16,2
2015,11,16,0
2015,12,3,0
2016,1,0,2
2016,2,9,3
2016,3,8,5
2016,4,6,1
2016,5,12,1
2016,6,11,2
2016,7,5,2
2016,8,7,4
2016,9,3,0
2016,10,8,0
2016,11,4,3
2016,12,9,5
2017,1,13,3
2017,2,16,5
2017,3,3,3
2017,4,5,6
2017,5,16,2
2017,6,7,5
2017,7,0,0
2017,8,13,0
2017,9,14,6
2017,10,11,3
2017,11,9,0
2017,12,16,6
2018,1,1,0
2018,2,8,5
2018,3,16,2
2018,4,5,1
2018,5,15,6
2018,6,5,3
2018,7,2,2
2018,8,0,3
2018,9,4,2
2018,10,16,1
2018,11,6,6
2018,12,6,3
2019,1,3,2
2019,2,2,0
2019,3,6,6
2019,4,10,5
2019,5,0,2
2019,6,0,0
2019,7,0,0
2019,8,0,0
2019,9,0,0
2019,10,0,0
2019,11,0,0
2019,12,0,0
2020,1,0,0
2020,2,0,0
2020,3,0,0
2020,4,0,0
2020,5,0,0
2020,6,0,0
2020,7,0,0
2020,8,0,0
2020,9,0,0
2020,10,0,0
2020,11,0,0
2020,12,0,0
2021,1,0,0
2021,2,0,0
2021,3,0,0
2021,4,0,0
2021,5,0,0
2021,6,0,0
2021,7,0,0
2021,8,0,0
2021,9,0,0
2021,10,0,0
2021,11,0,0
2021,12,0,0
2022,1,0,0
2022,2,0,0
2022,3,0,0
2022,4,0,0
2022,5,0,0
2022,6,0,0
2022,7,0,0
2022,8,0,0
2022,9,0,0
2022,10,0,0
2022,11,0,0
2022,12,0,0
2023,1,0,0
2023,2,0,0
2023,3,0,0
2023,4,0,0
2023,5,0,0
2023,6,0,0
2023,7,0,0
2023,8,0,0
2023,9,0,0
2023,10,0,0
2023,11,0,0
2023,12,0,0
